OBJECTID,ReportDate,FirstDose_AdminDaily,FirstDose_AdminCum,FirstDose_AdminSevenDayAvg,SecDose_AdminDaily,SecDose_AdminCum,SecDose_AdminSevenDayAvg,SingleDose_AdminDaily,SingleDose_AdminCum,SingleDose_AdminSevenDayAvg,Total_AdminDaily,Total_AdminCum,Total_AdminSevenDayAvg
18,9/14/2021 15:00:00,5047.000000000000000,3886308.000000000000000,4938.000000000000000,5721.000000000000000,3520313.000000000000000,5501.000000000000000,458.000000000000000,296513.000000000000000,907.000000000000000,11226,7703134,11346
19,9/13/2021 15:00:00,3917.000000000000000,3881261.000000000000000,4644.000000000000000,4049.000000000000000,3514592.000000000000000,5242.000000000000000,342.000000000000000,296055.000000000000000,878.000000000000000,8308,7691908,10763
20,9/12/2021 15:00:00,3609.000000000000000,3877344.000000000000000,4444.000000000000000,3855.000000000000000,3510543.000000000000000,5022.000000000000000,498.000000000000000,295713.000000000000000,841.000000000000000,7962,7683600,10308
21,9/11/2021 15:00:00,6134.000000000000000,3873735.000000000000000,4331.000000000000000,6089.000000000000000,3506688.000000000000000,4969.000000000000000,2021.000000000000000,295215.000000000000000,787.000000000000000,14244,7675638,10087
22,9/10/2021 15:00:00,5165.000000000000000,3867601.000000000000000,4174.000000000000000,5690.000000000000000,3500599.000000000000000,4908.000000000000000,318.000000000000000,293194.000000000000000,628.000000000000000,11173,7661394,9710
23,9/9/2021 15:00:00,5564.000000000000000,3862436.000000000000000,4268.000000000000000,6442.000000000000000,3494909.000000000000000,5013.000000000000000,356.000000000000000,292876.000000000000000,725.000000000000000,12362,7650221,10006
24,9/8/2021 15:00:00,5129.000000000000000,3856872.000000000000000,4271.000000000000000,6659.000000000000000,3488467.000000000000000,4970.000000000000000,2356.000000000000000,292520.000000000000000,774.000000000000000,14144,7637859,10016
25,9/7/2021 15:00:00,2987.000000000000000,3851743.000000000000000,4463.000000000000000,3908.000000000000000,3481808.000000000000000,5025.000000000000000,252.000000000000000,290164.000000000000000,564.000000000000000,7147,7623715,10052
26,9/6/2021 15:00:00,2520.000000000000000,3848756.000000000000000,5010.000000000000000,2512.000000000000000,3477900.000000000000000,5434.000000000000000,89.000000000000000,289912.000000000000000,677.000000000000000,5121,7616568,11121
27,9/5/2021 15:00:00,2818.000000000000000,3846236.000000000000000,5448.000000000000000,3483.000000000000000,3475388.000000000000000,5826.000000000000000,115.000000000000000,289823.000000000000000,812.000000000000000,6416,7611447,12085
28,9/4/2021 15:00:00,5037.000000000000000,3843418.000000000000000,5609.000000000000000,5659.000000000000000,3471905.000000000000000,5907.000000000000000,911.000000000000000,289708.000000000000000,884.000000000000000,11607,7605031,12400
29,9/3/2021 15:00:00,5824.000000000000000,3838381.000000000000000,5995.000000000000000,6428.000000000000000,3466246.000000000000000,6175.000000000000000,993.000000000000000,288797.000000000000000,798.000000000000000,13245,7593424,12967
30,9/2/2021 15:00:00,5585.000000000000000,3832557.000000000000000,6144.000000000000000,6144.000000000000000,3459818.000000000000000,6184.000000000000000,700.000000000000000,287804.000000000000000,697.000000000000000,12429,7580179,13025
31,9/1/2021 15:00:00,6470.000000000000000,3826972.000000000000000,6341.000000000000000,7041.000000000000000,3453674.000000000000000,6192.000000000000000,888.000000000000000,287104.000000000000000,660.000000000000000,14399,7567750,13192
32,8/31/2021 15:00:00,6816.000000000000000,3820502.000000000000000,6408.000000000000000,6773.000000000000000,3446633.000000000000000,6109.000000000000000,1043.000000000000000,286216.000000000000000,606.000000000000000,14632,7553351,13122
33,8/30/2021 15:00:00,5583.000000000000000,3813686.000000000000000,6438.000000000000000,5252.000000000000000,3439860.000000000000000,6080.000000000000000,1035.000000000000000,285173.000000000000000,519.000000000000000,11870,7538719,13037
34,8/29/2021 15:00:00,3948.000000000000000,3808103.000000000000000,6391.000000000000000,4051.000000000000000,3434608.000000000000000,6083.000000000000000,619.000000000000000,284138.000000000000000,431.000000000000000,8618,7526849,12905
35,8/28/2021 15:00:00,7737.000000000000000,3804155.000000000000000,6250.000000000000000,7534.000000000000000,3430557.000000000000000,5999.000000000000000,308.000000000000000,283519.000000000000000,357.000000000000000,15579,7518231,12607
36,8/27/2021 15:00:00,6867.000000000000000,3796418.000000000000000,5896.000000000000000,6495.000000000000000,3423023.000000000000000,5599.000000000000000,283.000000000000000,283211.000000000000000,340.000000000000000,13645,7502652,11835
37,8/26/2021 15:00:00,6964.000000000000000,3789551.000000000000000,5827.000000000000000,6197.000000000000000,3416528.000000000000000,5506.000000000000000,442.000000000000000,282928.000000000000000,357.000000000000000,13603,7489007,11690
38,8/25/2021 15:00:00,6939.000000000000000,3782587.000000000000000,5759.000000000000000,6460.000000000000000,3410331.000000000000000,5408.000000000000000,510.000000000000000,282486.000000000000000,353.000000000000000,13909,7475404,11520
39,8/24/2021 15:00:00,7025.000000000000000,3775648.000000000000000,5895.000000000000000,6569.000000000000000,3403871.000000000000000,5392.000000000000000,439.000000000000000,281976.000000000000000,295.000000000000000,14033,7461495,11641
40,8/23/2021 15:00:00,5257.000000000000000,3768623.000000000000000,5793.000000000000000,5278.000000000000000,3397302.000000000000000,5259.000000000000000,413.000000000000000,281537.000000000000000,232.000000000000000,10948,7447462,11395
41,8/22/2021 15:00:00,2963.000000000000000,3763366.000000000000000,5814.000000000000000,3461.000000000000000,3392024.000000000000000,5181.000000000000000,106.000000000000000,281124.000000000000000,337.000000000000000,6530,7436514,11332
42,8/21/2021 15:00:00,5260.000000000000000,3760403.000000000000000,5914.000000000000000,4730.000000000000000,3388563.000000000000000,5163.000000000000000,185.000000000000000,281018.000000000000000,342.000000000000000,10175,7429984,11419
43,8/20/2021 15:00:00,6383.000000000000000,3755143.000000000000000,5721.000000000000000,5847.000000000000000,3383833.000000000000000,4935.000000000000000,405.000000000000000,280833.000000000000000,339.000000000000000,12635,7419809,10994
44,8/19/2021 15:00:00,6485.000000000000000,3748760.000000000000000,5774.000000000000000,5514.000000000000000,3377986.000000000000000,4833.000000000000000,414.000000000000000,280428.000000000000000,333.000000000000000,12413,7407174,10939
45,8/18/2021 15:00:00,7893.000000000000000,3742275.000000000000000,6294.000000000000000,6345.000000000000000,3372472.000000000000000,4888.000000000000000,515.000000000000000,280014.000000000000000,339.000000000000000,14753,7394761,11520
46,8/17/2021 15:00:00,6312.000000000000000,3734382.000000000000000,6289.000000000000000,5640.000000000000000,3366127.000000000000000,4725.000000000000000,359.000000000000000,279499.000000000000000,327.000000000000000,12311,7380008,11341
47,8/16/2021 15:00:00,5400.000000000000000,3728070.000000000000000,6245.000000000000000,4729.000000000000000,3360487.000000000000000,4514.000000000000000,377.000000000000000,279140.000000000000000,332.000000000000000,10506,7367697,11091
48,8/15/2021 15:00:00,3664.000000000000000,3722670.000000000000000,6288.000000000000000,3336.000000000000000,3355758.000000000000000,4352.000000000000000,138.000000000000000,278763.000000000000000,333.000000000000000,7138,7357191,10973
49,8/14/2021 15:00:00,3907.000000000000000,3719006.000000000000000,6352.000000000000000,3133.000000000000000,3352422.000000000000000,4223.000000000000000,162.000000000000000,278625.000000000000000,335.000000000000000,7202,7350053,10910
50,8/13/2021 15:00:00,6758.000000000000000,3715099.000000000000000,6765.000000000000000,5131.000000000000000,3349289.000000000000000,4318.000000000000000,364.000000000000000,278463.000000000000000,346.000000000000000,12253,7342851,11429
51,8/12/2021 15:00:00,10121.000000000000000,3708341.000000000000000,6850.000000000000000,5903.000000000000000,3344158.000000000000000,4217.000000000000000,455.000000000000000,278099.000000000000000,382.000000000000000,16479,7330598,11448
52,8/11/2021 15:00:00,7862.000000000000000,3698220.000000000000000,6438.000000000000000,5204.000000000000000,3338255.000000000000000,4012.000000000000000,434.000000000000000,277644.000000000000000,380.000000000000000,13500,7314119,10831
53,8/10/2021 15:00:00,6006.000000000000000,3690358.000000000000000,6722.000000000000000,4164.000000000000000,3333051.000000000000000,4082.000000000000000,391.000000000000000,277210.000000000000000,468.000000000000000,10561,7300619,11272
54,8/9/2021 15:00:00,5698.000000000000000,3684352.000000000000000,6890.000000000000000,3592.000000000000000,3328887.000000000000000,4125.000000000000000,386.000000000000000,276819.000000000000000,470.000000000000000,9676,7290058,11485
55,8/8/2021 15:00:00,4111.000000000000000,3678654.000000000000000,6905.000000000000000,2435.000000000000000,3325295.000000000000000,4134.000000000000000,154.000000000000000,276433.000000000000000,473.000000000000000,6700,7280382,11512
56,8/7/2021 15:00:00,6800.000000000000000,3674543.000000000000000,7000.000000000000000,3795.000000000000000,3322860.000000000000000,4256.000000000000000,239.000000000000000,276279.000000000000000,480.000000000000000,10834,7273682,11736
57,8/6/2021 15:00:00,7349.000000000000000,3667743.000000000000000,6471.000000000000000,4425.000000000000000,3319065.000000000000000,3978.000000000000000,615.000000000000000,276040.000000000000000,483.000000000000000,12389,7262848,10931
58,8/5/2021 15:00:00,7242.000000000000000,3660394.000000000000000,6457.000000000000000,4471.000000000000000,3314640.000000000000000,4359.000000000000000,442.000000000000000,275425.000000000000000,466.000000000000000,12155,7250459,11282
59,8/4/2021 15:00:00,9850.000000000000000,3653152.000000000000000,6450.000000000000000,5689.000000000000000,3310169.000000000000000,4365.000000000000000,1050.000000000000000,274983.000000000000000,469.000000000000000,16589,7238304,11284
60,8/3/2021 15:00:00,7179.000000000000000,3643302.000000000000000,6032.000000000000000,4471.000000000000000,3304480.000000000000000,4207.000000000000000,405.000000000000000,273933.000000000000000,391.000000000000000,12055,7221715,10629
61,8/2/2021 15:00:00,5807.000000000000000,3636123.000000000000000,5953.000000000000000,3650.000000000000000,3300009.000000000000000,4399.000000000000000,405.000000000000000,273528.000000000000000,409.000000000000000,9862,7209660,10761
62,8/1/2021 15:00:00,4775.000000000000000,3630316.000000000000000,5825.000000000000000,3291.000000000000000,3296359.000000000000000,4276.000000000000000,205.000000000000000,273123.000000000000000,402.000000000000000,8271,7199798,10503
63,7/31/2021 15:00:00,3096.000000000000000,3625541.000000000000000,5711.000000000000000,1847.000000000000000,3293068.000000000000000,4162.000000000000000,256.000000000000000,272918.000000000000000,396.000000000000000,5199,7191527,10269
64,7/30/2021 15:00:00,7253.000000000000000,3622445.000000000000000,6060.000000000000000,7091.000000000000000,3291221.000000000000000,4428.000000000000000,496.000000000000000,272662.000000000000000,396.000000000000000,14840,7186328,10884
65,7/29/2021 15:00:00,7188.000000000000000,3615192.000000000000000,5948.000000000000000,4515.000000000000000,3284130.000000000000000,4126.000000000000000,468.000000000000000,272166.000000000000000,386.000000000000000,12171,7171488,10460
66,7/28/2021 15:00:00,6923.000000000000000,3608004.000000000000000,5748.000000000000000,4581.000000000000000,3279615.000000000000000,4184.000000000000000,499.000000000000000,271698.000000000000000,372.000000000000000,12003,7159317,10303
67,7/27/2021 15:00:00,6630.000000000000000,3601081.000000000000000,5617.000000000000000,5818.000000000000000,3275034.000000000000000,4301.000000000000000,532.000000000000000,271199.000000000000000,361.000000000000000,12980,7147314,10279
68,7/26/2021 15:00:00,4912.000000000000000,3594451.000000000000000,5510.000000000000000,2786.000000000000000,3269216.000000000000000,4521.000000000000000,360.000000000000000,270667.000000000000000,334.000000000000000,8058,7134334,10365
69,7/25/2021 15:00:00,3972.000000000000000,3589539.000000000000000,5421.000000000000000,2496.000000000000000,3266430.000000000000000,4767.000000000000000,164.000000000000000,270307.000000000000000,334.000000000000000,6632,7126276,10521
70,7/24/2021 15:00:00,5544.000000000000000,3585567.000000000000000,5271.000000000000000,3710.000000000000000,3263934.000000000000000,4804.000000000000000,253.000000000000000,270143.000000000000000,333.000000000000000,9507,7119644,10407
71,7/23/2021 15:00:00,6464.000000000000000,3580023.000000000000000,5154.000000000000000,4975.000000000000000,3260224.000000000000000,4941.000000000000000,428.000000000000000,269890.000000000000000,350.000000000000000,11867,7110137,10445
72,7/22/2021 15:00:00,5788.000000000000000,3573559.000000000000000,5085.000000000000000,4919.000000000000000,3255249.000000000000000,5006.000000000000000,369.000000000000000,269462.000000000000000,323.000000000000000,11076,7098270,10414
73,7/21/2021 15:00:00,6008.000000000000000,3567771.000000000000000,5311.000000000000000,5405.000000000000000,3250330.000000000000000,5365.000000000000000,419.000000000000000,269093.000000000000000,363.000000000000000,11832,7087194,11039
74,7/20/2021 15:00:00,5881.000000000000000,3561763.000000000000000,5131.000000000000000,7356.000000000000000,3244925.000000000000000,5342.000000000000000,348.000000000000000,268674.000000000000000,374.000000000000000,13585,7075362,10847
75,7/19/2021 15:00:00,4287.000000000000000,3555882.000000000000000,5055.000000000000000,4505.000000000000000,3237569.000000000000000,5213.000000000000000,355.000000000000000,268326.000000000000000,368.000000000000000,9147,7061777,10636
76,7/18/2021 15:00:00,2923.000000000000000,3551595.000000000000000,5038.000000000000000,2755.000000000000000,3233064.000000000000000,5291.000000000000000,156.000000000000000,267971.000000000000000,392.000000000000000,5834,7052630,10721
77,7/17/2021 15:00:00,4727.000000000000000,3548672.000000000000000,5078.000000000000000,4672.000000000000000,3230309.000000000000000,5341.000000000000000,373.000000000000000,267815.000000000000000,400.000000000000000,9772,7046796,10819
78,7/16/2021 15:00:00,5978.000000000000000,3543945.000000000000000,5008.000000000000000,5433.000000000000000,3225637.000000000000000,5339.000000000000000,242.000000000000000,267442.000000000000000,395.000000000000000,11653,7037024,10743
79,7/15/2021 15:00:00,7374.000000000000000,3537967.000000000000000,4901.000000000000000,7432.000000000000000,3220204.000000000000000,5466.000000000000000,646.000000000000000,267200.000000000000000,421.000000000000000,15452,7025371,10787
80,7/14/2021 15:00:00,4746.000000000000000,3530593.000000000000000,4537.000000000000000,5243.000000000000000,3212772.000000000000000,5423.000000000000000,498.000000000000000,266554.000000000000000,393.000000000000000,10487,7009919,10353
81,7/13/2021 15:00:00,5350.000000000000000,3525847.000000000000000,4542.000000000000000,6451.000000000000000,3207529.000000000000000,5674.000000000000000,308.000000000000000,266056.000000000000000,400.000000000000000,12109,6999432,10615
82,7/12/2021 15:00:00,4167.000000000000000,3520497.000000000000000,4481.000000000000000,5054.000000000000000,3201078.000000000000000,5643.000000000000000,519.000000000000000,265748.000000000000000,423.000000000000000,9740,6987323,10547
83,7/11/2021 15:00:00,3203.000000000000000,3516330.000000000000000,4094.000000000000000,3105.000000000000000,3196024.000000000000000,5192.000000000000000,213.000000000000000,265229.000000000000000,368.000000000000000,6521,6977583,9654
84,7/10/2021 15:00:00,4238.000000000000000,3513127.000000000000000,3967.000000000000000,4658.000000000000000,3192919.000000000000000,5102.000000000000000,340.000000000000000,265016.000000000000000,356.000000000000000,9236,6971062,9425
85,7/9/2021 15:00:00,5227.000000000000000,3508889.000000000000000,3984.000000000000000,6316.000000000000000,3188261.000000000000000,5319.000000000000000,422.000000000000000,264676.000000000000000,377.000000000000000,11965,6961826,9680
86,7/8/2021 15:00:00,4826.000000000000000,3503662.000000000000000,3979.000000000000000,7134.000000000000000,3181945.000000000000000,5291.000000000000000,453.000000000000000,264254.000000000000000,376.000000000000000,12413,6949861,9646
87,7/7/2021 15:00:00,4780.000000000000000,3498836.000000000000000,4213.000000000000000,7000.000000000000000,3174811.000000000000000,5721.000000000000000,543.000000000000000,263801.000000000000000,412.000000000000000,12323,6937448,10346
88,7/6/2021 15:00:00,4929.000000000000000,3494056.000000000000000,4343.000000000000000,6232.000000000000000,3167811.000000000000000,5821.000000000000000,473.000000000000000,263258.000000000000000,434.000000000000000,11634,6925125,10599
89,7/5/2021 15:00:00,1458.000000000000000,3489127.000000000000000,4488.000000000000000,1898.000000000000000,3161579.000000000000000,5963.000000000000000,131.000000000000000,262785.000000000000000,404.000000000000000,3487,6913491,10855
90,7/4/2021 15:00:00,2313.000000000000000,3487669.000000000000000,4850.000000000000000,2476.000000000000000,3159681.000000000000000,6505.000000000000000,127.000000000000000,262654.000000000000000,479.000000000000000,4916,6910004,11834
91,7/3/2021 15:00:00,4352.000000000000000,3485356.000000000000000,5061.000000000000000,6179.000000000000000,3157205.000000000000000,7106.000000000000000,488.000000000000000,262527.000000000000000,506.000000000000000,11019,6905088,12673
92,7/2/2021 15:00:00,5193.000000000000000,3481004.000000000000000,7949.000000000000000,6120.000000000000000,3151026.000000000000000,11150.000000000000000,417.000000000000000,262039.000000000000000,716.000000000000000,11730,6894069,19815
93,7/1/2021 15:00:00,6465.000000000000000,3475811.000000000000000,9047.000000000000000,10139.000000000000000,3144906.000000000000000,14058.000000000000000,707.000000000000000,261622.000000000000000,809.000000000000000,17311,6882339,23915
94,6/30/2021 15:00:00,5690.000000000000000,3469346.000000000000000,9048.000000000000000,7706.000000000000000,3134767.000000000000000,14187.000000000000000,698.000000000000000,260915.000000000000000,798.000000000000000,14094,6865028,24033
95,6/29/2021 15:00:00,5948.000000000000000,3463656.000000000000000,9579.000000000000000,7221.000000000000000,3127061.000000000000000,15184.000000000000000,257.000000000000000,260217.000000000000000,832.000000000000000,13426,6850934,25595
96,6/28/2021 15:00:00,3991.000000000000000,3457708.000000000000000,9691.000000000000000,5695.000000000000000,3119840.000000000000000,15461.000000000000000,659.000000000000000,259960.000000000000000,951.000000000000000,10345,6837508,26103
97,6/27/2021 15:00:00,3787.000000000000000,3453717.000000000000000,10139.000000000000000,6683.000000000000000,3114145.000000000000000,16563.000000000000000,318.000000000000000,259301.000000000000000,1031.000000000000000,10788,6827163,27734
98,6/26/2021 15:00:00,24569.000000000000000,3449930.000000000000000,9621.000000000000000,34489.000000000000000,3107462.000000000000000,15649.000000000000000,1954.000000000000000,258983.000000000000000,985.000000000000000,61012,6816375,26256
99,6/25/2021 15:00:00,12880.000000000000000,3425361.000000000000000,6135.000000000000000,26476.000000000000000,3072973.000000000000000,10771.000000000000000,1073.000000000000000,257029.000000000000000,706.000000000000000,40429,6755363,17612
100,6/24/2021 15:00:00,6472.000000000000000,3412481.000000000000000,5245.000000000000000,11038.000000000000000,3046497.000000000000000,8748.000000000000000,625.000000000000000,255956.000000000000000,659.000000000000000,18135,6714934,14652
101,6/23/2021 15:00:00,9408.000000000000000,3406009.000000000000000,5623.000000000000000,14685.000000000000000,3035459.000000000000000,9534.000000000000000,940.000000000000000,255331.000000000000000,670.000000000000000,25033,6696799,15826
102,6/22/2021 15:00:00,6730.000000000000000,3396601.000000000000000,5572.000000000000000,9161.000000000000000,3020774.000000000000000,10255.000000000000000,1091.000000000000000,254391.000000000000000,656.000000000000000,16982,6671766,16483
103,6/21/2021 15:00:00,7130.000000000000000,3389871.000000000000000,5770.000000000000000,13412.000000000000000,3011613.000000000000000,11567.000000000000000,1214.000000000000000,253300.000000000000000,642.000000000000000,21756,6654784,17978
104,6/20/2021 15:00:00,161.000000000000000,3382741.000000000000000,6479.000000000000000,284.000000000000000,2998201.000000000000000,12902.000000000000000,1.000000000000000,252086.000000000000000,704.000000000000000,446,6633028,20084
105,6/19/2021 15:00:00,166.000000000000000,3382580.000000000000000,6742.000000000000000,338.000000000000000,2997917.000000000000000,13704.000000000000000,1.000000000000000,252085.000000000000000,754.000000000000000,505,6632582,21200
106,6/18/2021 15:00:00,6651.000000000000000,3382414.000000000000000,7187.000000000000000,12316.000000000000000,2997579.000000000000000,15202.000000000000000,739.000000000000000,252084.000000000000000,818.000000000000000,19706,6632077,23207
107,6/17/2021 15:00:00,9113.000000000000000,3375763.000000000000000,7587.000000000000000,16539.000000000000000,2985263.000000000000000,16132.000000000000000,705.000000000000000,251345.000000000000000,857.000000000000000,26357,6612371,24575
108,6/16/2021 15:00:00,9052.000000000000000,3366650.000000000000000,8158.000000000000000,19738.000000000000000,2968724.000000000000000,18041.000000000000000,838.000000000000000,250640.000000000000000,915.000000000000000,29628,6586014,27114
109,6/15/2021 15:00:00,8119.000000000000000,3357598.000000000000000,9092.000000000000000,18339.000000000000000,2948986.000000000000000,19229.000000000000000,993.000000000000000,249802.000000000000000,981.000000000000000,27451,6556386,29302
110,6/14/2021 15:00:00,12089.000000000000000,3349479.000000000000000,9223.000000000000000,22760.000000000000000,2930647.000000000000000,19566.000000000000000,1649.000000000000000,248809.000000000000000,969.000000000000000,36498,6528935,29757
111,6/13/2021 15:00:00,2002.000000000000000,3337390.000000000000000,8353.000000000000000,5900.000000000000000,2907887.000000000000000,18224.000000000000000,350.000000000000000,247160.000000000000000,830.000000000000000,8252,6492437,27407
112,6/12/2021 15:00:00,3281.000000000000000,3335388.000000000000000,8774.000000000000000,10822.000000000000000,2901987.000000000000000,18713.000000000000000,455.000000000000000,246810.000000000000000,843.000000000000000,14558,6484185,28330
113,6/11/2021 15:00:00,9452.000000000000000,3332107.000000000000000,9470.000000000000000,18824.000000000000000,2891165.000000000000000,19989.000000000000000,1008.000000000000000,246355.000000000000000,887.000000000000000,29284,6469627,30346
114,6/10/2021 15:00:00,13113.000000000000000,3322655.000000000000000,9435.000000000000000,29903.000000000000000,2872341.000000000000000,20848.000000000000000,1112.000000000000000,245347.000000000000000,910.000000000000000,44128,6440343,31194
115,6/9/2021 15:00:00,15591.000000000000000,3309542.000000000000000,9186.000000000000000,28054.000000000000000,2842438.000000000000000,19171.000000000000000,1297.000000000000000,244235.000000000000000,901.000000000000000,44942,6396215,29257
116,6/8/2021 15:00:00,9030.000000000000000,3293951.000000000000000,8328.000000000000000,20699.000000000000000,2814384.000000000000000,17129.000000000000000,909.000000000000000,242938.000000000000000,840.000000000000000,30638,6351273,26296
117,6/7/2021 15:00:00,6001.000000000000000,3284921.000000000000000,8036.000000000000000,13367.000000000000000,2793685.000000000000000,16339.000000000000000,678.000000000000000,242029.000000000000000,834.000000000000000,20046,6320635,25209
118,6/6/2021 15:00:00,4950.000000000000000,3278920.000000000000000,7780.000000000000000,9321.000000000000000,2780318.000000000000000,15088.000000000000000,442.000000000000000,241351.000000000000000,822.000000000000000,14713,6300589,23690
119,6/5/2021 15:00:00,8153.000000000000000,3273970.000000000000000,7820.000000000000000,19758.000000000000000,2770997.000000000000000,14744.000000000000000,761.000000000000000,240909.000000000000000,862.000000000000000,28672,6285876,23426
120,6/4/2021 15:00:00,9210.000000000000000,3265817.000000000000000,8474.000000000000000,24837.000000000000000,2751239.000000000000000,14112.000000000000000,1170.000000000000000,240148.000000000000000,941.000000000000000,35217,6257204,23527
121,6/3/2021 15:00:00,11365.000000000000000,3256607.000000000000000,9949.000000000000000,18158.000000000000000,2726402.000000000000000,14844.000000000000000,1049.000000000000000,238978.000000000000000,1055.000000000000000,30572,6221987,25847
122,6/2/2021 15:00:00,9587.000000000000000,3245242.000000000000000,9848.000000000000000,13760.000000000000000,2708244.000000000000000,14669.000000000000000,868.000000000000000,237929.000000000000000,1041.000000000000000,24215,6191415,25557
123,6/1/2021 15:00:00,6985.000000000000000,3235655.000000000000000,10517.000000000000000,15170.000000000000000,2694484.000000000000000,16238.000000000000000,870.000000000000000,237061.000000000000000,1052.000000000000000,23025,6167200,27808
124,5/31/2021 15:00:00,4208.000000000000000,3228670.000000000000000,11762.000000000000000,4613.000000000000000,2679314.000000000000000,16778.000000000000000,592.000000000000000,236191.000000000000000,1157.000000000000000,9413,6144175,29697
125,5/30/2021 15:00:00,5233.000000000000000,3224462.000000000000000,12431.000000000000000,6913.000000000000000,2674701.000000000000000,17942.000000000000000,722.000000000000000,235599.000000000000000,1297.000000000000000,12868,6134762,31671
126,5/29/2021 15:00:00,12729.000000000000000,3219229.000000000000000,12950.000000000000000,15333.000000000000000,2667788.000000000000000,18489.000000000000000,1319.000000000000000,234877.000000000000000,1307.000000000000000,29381,6121894,32746
127,5/28/2021 15:00:00,19533.000000000000000,3206500.000000000000000,13384.000000000000000,29962.000000000000000,2652455.000000000000000,19153.000000000000000,1963.000000000000000,233558.000000000000000,1300.000000000000000,51458,6092513,33837
128,5/27/2021 15:00:00,10659.000000000000000,3186967.000000000000000,13178.000000000000000,16931.000000000000000,2622493.000000000000000,18811.000000000000000,950.000000000000000,231595.000000000000000,1226.000000000000000,28540,6041055,33215
