OBJECTID,VACCINATION_DATE,AgeRange,TotalVaccination,CummulativeVaccination
93,12/27/2020 3:00:00,age70to79,32,813
94,12/27/2020 3:00:00,age80plus,75,1043
95,12/28/2020 3:00:00,age10to19,8,88
96,12/28/2020 3:00:00,age20to29,1049,3963
97,12/28/2020 3:00:00,age30to39,1731,7126
98,12/28/2020 3:00:00,age40to49,1472,6434
99,12/28/2020 3:00:00,age50to59,1469,6407
100,12/28/2020 3:00:00,age60to69,1060,4556
101,12/28/2020 3:00:00,age70to79,209,1022
102,12/28/2020 3:00:00,age80plus,75,1118
103,12/29/2020 3:00:00,age0to9,1,1
104,12/29/2020 3:00:00,age10to19,12,100
105,12/29/2020 3:00:00,age20to29,1115,5078
106,12/29/2020 3:00:00,age30to39,1655,8781
107,12/29/2020 3:00:00,age40to49,1462,7896
108,12/29/2020 3:00:00,age50to59,1610,8017
109,12/29/2020 3:00:00,age60to69,1150,5706
110,12/29/2020 3:00:00,age70to79,282,1304
111,12/29/2020 3:00:00,age80plus,33,1151
112,12/30/2020 3:00:00,age10to19,40,140
113,12/30/2020 3:00:00,age20to29,1390,6468
114,12/30/2020 3:00:00,age30to39,1986,10767
115,12/30/2020 3:00:00,age40to49,1910,9806
116,12/30/2020 3:00:00,age50to59,1971,9988
117,12/30/2020 3:00:00,age60to69,1315,7021
118,12/30/2020 3:00:00,age70to79,315,1619
119,12/30/2020 3:00:00,age80plus,51,1202
